;"incorrect_sentence";"correct_sentences";"topics";"entered"
708;"She was married with a famous comedian.";"She was married to a famous comedian.";"Prepositions";"2024-08-07 09:08:26.969035"
709;"I'm afraid about birds.";"I'm afraid of birds.";"Prepositions";"2024-08-07 09:08:26.969035"
710;"What are your plans to the future?";"What are your plans for the future?";"To / For
Prepositions";"2024-08-07 09:08:26.969035"
711;"My job is near from the UCC campus.";"My job is near the UCC campus.";"Prepositions";"2024-08-07 09:08:26.969035"
712;"I'm not as good bowling as football.";"I'm not as good at bowling as football.";"Prepositions";"2024-08-07 09:08:26.969035"
713;"What kinds of things do you argue?";"What kinds of things do you argue about?";"Prepositions";"2024-08-07 09:08:26.969035"
714;"A lot of people tried to participate of the game.";"A lot of people tried to participate in the game.";"Prepositions";"2024-08-07 09:08:26.969035"
715;"I haven't been in London.";"I haven't been to London.";"Prepositions";"2024-08-07 09:08:26.969035"
716;"Because that, I always pay with my phone.";"Because of that, I always pay with my phone.
For that reason, I always pay with my phone.
That's why I always pay with my phone.";"Prepositions";"2024-08-07 09:08:26.969035"
717;"It depends of the month.";"It depends on the month.";"Prepositions";"2024-08-07 09:08:26.969035"
718;"I was in charge for all the information.";"I was in charge of all the information.
I was responsible for all the information.";"Prepositions";"2024-08-07 09:08:26.969035"
719;"We have seven things to spend money.";"We have seven things to spend money on.";"Prepositions";"2024-08-07 09:08:26.969035"
720;"Have you ever heard about this place?";"Have you ever heard of this place?";"Prepositions";"2024-08-07 09:08:26.969035"
721;"I have a passion to horror movies.";"I have a passion for horror movies.";"To / For
Prepositions";"2024-08-07 09:08:26.969035"
722;"I moved for another city.";"I moved to another city.";"To / For
Prepositions";"2024-08-07 09:08:26.969035"
723;"Most of people get married in a church.";"Most people get married in a church.";"Quantifiers / Nouns
Prepositions";"2024-08-07 09:08:26.969035"
724;"I'm so proud about them.";"I'm so proud of them.";"Prepositions";"2024-08-07 09:08:26.969035"
725;"You put some oil above the pig while it's cooking.";"You put some oil on the pig while it's cooking.
You put some oil over the pig while it's cooking.";"Prepositions";"2024-08-07 09:08:26.969035"
726;"I have great admiration about the agricultural production in Brazil.";"I have great admiration for the agricultural production in Brazil.";"Prepositions";"2024-08-07 09:08:26.969035"
727;"He's the best athlete of the world.";"He's the best athlete in the world.";"Prepositions";"2024-08-07 09:08:26.969035"
728;"It's easier to be attracted for a good personality.";"It's easier to be attracted to a good personality.";"To / For
Prepositions";"2024-08-07 09:08:26.969035"
729;"I thought maybe it would be a good profession to me.";"I thought maybe it would be a good profession for me.";"To / For
Prepositions";"2024-08-07 09:08:26.969035"
730;"I'm similar like you.";"I'm like you.
I'm similar to you.";"Prepositions";"2024-08-07 09:08:26.969035"
731;"It's close from here.";"It's close to here.
It's near here.";"Prepositions";"2024-08-07 09:08:26.969035"
732;"You have to put a lot of effort on it.";"You have to put a lot of effort into it.";"Prepositions";"2024-08-07 09:08:26.969035"
733;"Chile is the best country for live.";"Chile is the best country to live in.";"To / For
Prepositions";"2024-08-07 09:08:26.969035"
734;"I'm waiting that a scientist invent an artificial uterus.";"I'm waiting for a scientist to invent an artificial uterus.";"To + Infinitive
Prepositions";"2024-08-07 09:08:26.969035"
735;"A lot of people try to solve the problem by their own.";"A lot of people try to solve the problem on their own.";"Prepositions";"2024-08-07 09:08:26.969035"
736;"Let's take a quick look about my previous results.";"Let's take a quick look at my previous results.";"Prepositions";"2024-08-07 09:08:26.969035"
737;"If I am here and I want to go there, I need to pay 2 buses.";"If I am here and I want to go there, I need to pay for 2 buses.";"Prepositions";"2024-08-07 09:08:26.969035"
738;"They waited him.";"They waited for him.";"Prepositions";"2024-08-07 09:08:26.969035"
739;"It's stressful to work like a cashier.";"It's stressful to work as a cashier.";"Prepositions";"2024-08-07 09:08:26.969035"
740;"Her parents didn't approve this decision.";"Her parents didn't approve of this decision.";"Prepositions";"2024-08-07 09:08:26.969035"
741;"She volunteered during three and a half years.";"She volunteered for three and a half years.";"Prepositions";"2024-08-07 09:08:26.969035"
742;"How many years do you need to study to work like a nurse?";"How many years do you need to study to work as a nurse?";"Prepositions";"2024-08-07 09:08:26.969035"
743;"They have to pay attention in case of something happens.";"They have to pay attention in case something happens.";"Prepositions";"2024-08-07 09:08:26.969035"
744;"I call to my family every day.";"I call my family every day.";"Prepositions";"2024-08-07 09:08:26.969035"
745;"Using social media is difficult to old people.";"Using social media is difficult for old people.";"To / For
Prepositions";"2024-08-07 09:08:26.969035"
746;"It depends of the profession.";"It depends on the profession.";"Prepositions";"2024-08-07 09:08:26.969035"
747;"I bought them when I came to here.";"I bought them when I came here.";"Prepositions";"2024-08-07 09:08:26.969035"
748;"I'm always thinking in other things.";"I'm always thinking about other things.";"Prepositions";"2024-08-07 09:08:26.969035"
749;"I went to my friend's house to Christmas.";"I went to my friend's house for Christmas.";"To / For
Prepositions";"2024-08-07 09:08:26.969035"
750;"Carnaval is so important for me.";"Carnaval is so important to me.";"To / For
Prepositions";"2024-08-07 09:08:26.969035"
751;"I had some details to take care.";"I had some details to take care of.";"Prepositions";"2024-08-07 09:08:26.969035"
752;"Every other show that I had been before had water vendors.";"Every other show that I had been to before had water vendors.";"Prepositions";"2024-08-07 09:08:26.969035"
753;"At the end, I decided to order spaghetti.";"In the end, I decided to order spaghetti.";"Prepositions";"2024-08-07 09:08:26.969035"
754;"There was a beautiful view from the bay.";"There was a beautiful view of the bay.";"Prepositions";"2024-08-07 09:08:26.969035"
755;"He looks like tense.";"He looks tense.";"Word Confusion
Prepositions";"2024-08-07 09:08:26.969035"
756;"It looks like she's going to a trip.";"It looks like she's going on a trip.";"Prepositions";"2024-08-07 09:08:26.969035"
757;"Do you ever think in being a model?";"Do you ever think about being a model?";"Prepositions";"2024-08-07 09:08:26.969035"
758;"My friend took me a picture.";"My friend took a picture of me.";"Prepositions";"2024-08-07 09:08:26.969035"
759;"It depends of the person.";"It depends on the person.";"Prepositions";"2024-08-07 09:08:26.969035"
760;"The staff are rude with Brazilians.";"The staff are rude to Brazilians.";"Prepositions";"2024-08-07 09:08:26.969035"
761;"I'm waiting to the perfect weather.";"I'm waiting for the perfect weather.";"To / For
Prepositions";"2024-08-07 09:08:26.969035"
762;"I like meeting with new people.";"I like meeting new people.";"Prepositions";"2024-08-07 09:08:26.969035"
763;"I'm not good with art.";"I'm not good at art.";"Prepositions";"2024-08-07 09:08:26.969035"
764;"He learns different things in each planet.";"He learns different things on each planet.";"Prepositions";"2024-08-07 09:08:26.969035"
765;"What's the name the book?";"What's the name of the book?";"Prepositions";"2024-08-07 09:08:26.969035"
766;"It's based of a true story.";"It's based on a true story.";"Prepositions";"2024-08-07 09:08:26.969035"
767;"The worst thing is spending a lot of time in public transport.";"The worst thing is spending a lot of time on public transport.";"Prepositions";"2024-08-07 09:08:26.969035"
768;"One of the things I've succeeded was coming to Ireland.";"One of the things I've succeeded in doing was coming to Ireland.
One of the things I've succeeded in was coming to Ireland.";"Prepositions";"2024-08-07 09:08:26.969035"
769;"You can spend your time with other things.";"You can spend your time on other things.";"Prepositions";"2024-08-07 09:08:26.969035"
770;"Is it based in a true story?";"Is it based on a true story?";"Prepositions";"2024-08-07 09:08:26.969035"
771;"I love the Bee Gees. I used to listen all the time.";"I love the Bee Gees. I used to listen to them all the time.";"Prepositions";"2024-08-07 09:08:26.969035"
772;"It depends of my mood.";"It depends on my mood.";"Prepositions";"2024-08-07 09:08:26.969035"
773;"It's really famous to Catholic people.";"It's really famous among Catholic people.";"Prepositions";"2024-08-07 09:08:26.969035"
774;"He lives in a city that I used to live.";"He lives in a city that I used to live in.
He lives in a city where I used to live.";"Relative Clauses
Prepositions";"2024-08-07 09:08:26.969035"
775;"Usually when I go to somewhere, I ask to my brother to look after my dog.";"Usually when I go somewhere, I ask my brother to look after my dog.";"Prepositions";"2024-08-07 09:08:26.969035"
776;"The US is similar with Brazil.";"The US is similar with Brazil.";"Prepositions";"2024-08-07 09:08:26.969035"
777;"I never eat sushi without Brazil.";"I never eat sushi except in Brazil.";"Word Confusion
Prepositions";"2024-08-07 09:08:26.969035"
778;"In the next day we went to a waterfall.";"On the next day we went to a waterfall.
The next day we went to a waterfall.";"Prepositions";"2024-08-07 09:08:26.969035"
779;"I've heard about it, but I don't know what it is.";"I've heard of it, but I don't know what it is.";"Prepositions";"2024-08-07 09:08:26.969035"
780;"Brazil didn't take part of the Second World War.";"Brazil didn't take part in the Second World War.";"Prepositions";"2024-08-07 09:08:26.969035"
781;"I'm really proud about the work that I did.";"I'm really proud of the work that I did.";"Prepositions";"2024-08-07 09:08:26.969035"
782;"If you live in the outskirts, you can survive.";"If you live on the outskirts, you can survive.";"Prepositions";"2024-08-07 09:08:26.969035"
783;"It's difficult when you put your money on risk.";"It's difficult when you put your money at risk.";"Prepositions";"2024-08-07 09:08:26.969035"
784;"My father is good fixing things.";"My father is good at fixing things.";"Prepositions";"2024-08-07 09:08:26.969035"
785;"I went to Argentina in my honeymoon.";"I went to Argentina for my honeymoon.
I went to Argentina on my honeymoon.";"Prepositions";"2024-08-07 09:08:26.969035"
786;"Monkeys are very similar than human beings.";"Monkeys are very similar to human beings.";"Prepositions";"2024-08-07 09:08:26.969035"
787;"There's a wall behind of him.";"There's a wall behind him.";"Prepositions";"2024-08-07 09:08:26.969035"
788;"Many people from the world try to imitate his dancing.";"Many people around the world try to imitate his dancing.";"Prepositions";"2024-08-07 09:08:26.969035"
789;"She spent a lot of money with stupid things.";"She spent a lot of money on stupid things.";"Prepositions";"2024-08-07 09:08:26.969035"
790;"She dreamt with diamonds and a series of numbers.";"She dreamt about/of diamonds and a series of numbers.";"Prepositions";"2024-08-07 09:08:26.969035"
791;"She gave money for a friend.";"She gave money to a friend.";"To / For
Prepositions";"2024-08-07 09:08:26.969035"
792;"It's not a city that people enjoy living.";"It's not a city that people enjoy living in.";"Relative Clauses
Prepositions";"2024-08-07 09:08:26.969035"
793;"In all the other airports I've been, you can connect to the internet.";"In all the other airports I've been to, you can connect to the internet.";"Relative Clauses
Prepositions";"2024-08-07 09:08:26.969035"
794;"It was my first time working like a leader.";"It was my first time working as a leader.";"Prepositions";"2024-08-07 09:08:26.969035"
795;"They have an impact from the environment.";"They have an impact on the environment.";"Prepositions";"2024-08-07 09:08:26.969035"
796;"It's about the first women who worked in NASA.";"It's about the first women who worked at NASA.
It's about the first women who worked for NASA.";"Prepositions";"2024-08-07 09:08:26.969035"
797;"They focus in one family.";"They focus on one family.";"Prepositions";"2024-08-07 09:08:26.969035"
798;"The far-right extremists attacked to a summer camp.";"The far-right extremists attacked a summer camp.";"Prepositions";"2024-08-07 09:08:26.969035"
799;"I really enjoy listening and dancing salsa music.";"I really enjoy listening and dancing to salsa music.";"Prepositions";"2024-08-07 09:08:26.969035"
800;"He's allergic from dogs.";"He's allergic to dogs.";"Prepositions";"2024-08-07 09:08:26.969035"
801;"I'm wasting my time waiting you.";"I'm wasting my time waiting for you.";"Prepositions";"2024-08-07 09:08:26.969035"
802;"A lot of good things happen with some people.";"A lot of good things happen to some people.";"Prepositions";"2024-08-07 09:08:26.969035"
803;"You have to put it in practice.";"You have to put it into practice.";"Prepositions";"2024-08-07 09:08:26.969035"
804;"She offered to me to be my sponsor.";"She offered to be my sponsor.";"Prepositions";"2024-08-07 09:08:26.969035"
805;"She recommended me for her boss.";"She recommended me to her boss.";"Prepositions";"2024-08-07 09:08:26.969035"
806;"It can have a huge impact from your personality.";"It can have a huge impact on your personality.";"Prepositions";"2024-08-07 09:08:26.969035"
807;"He's taking advantage to other people.";"He's taking advantage of other people.";"Prepositions";"2024-08-07 09:08:26.969035"
808;"You have a view from the whole city.";"You have a view of the whole city.";"Prepositions";"2024-08-07 09:08:26.969035"
809;"I don't have too much to complain.";"I don't have too much to complain about.";"Prepositions";"2024-08-07 09:08:26.969035"
810;"People have to start working in an early age.";"People have to start working at an early age.";"Prepositions";"2024-08-07 09:08:26.969035"
811;"I'm really attached with my mom.";"I'm really attached to my mom.";"Prepositions";"2024-08-07 09:08:26.969035"
812;"This is not a problem to her.";"This is not a problem for her.";"To / For
Prepositions";"2024-08-07 09:08:26.969035"
813;"I don't know how to react about that.";"I don't know how to react to that.";"Prepositions";"2024-08-07 09:08:26.969035"
814;"That happened to me with the girl that I lived.";"That happened to me with the girl that I lived with.";"Prepositions";"2024-08-07 09:08:26.969035"
815;"I think you could work with being more polite.";"I think you could work on being more polite.";"Prepositions";"2024-08-07 09:08:26.969035"
816;"My city is famous for her public transport.";"My city is famous for its public transport.";"Possessives";"2024-08-07 09:08:26.969035"
817;"People change during your lives.";"People change during their lives.";"Possessives";"2024-08-07 09:08:26.969035"
818;"They fight using your intelligence.";"They fight using their intelligence.";"Possessives";"2024-08-07 09:08:26.969035"
819;"She met your future husband when she was at university.";"She met her future husband when she was at university.";"Possessives";"2024-08-07 09:08:26.969035"
820;"Everybody's free to express your opinion.";"Everybody's free to express their opinion.";"Possessives";"2024-08-07 09:08:26.969035"
821;"Sometimes powerful people use your influence to get what they want.";"Sometimes powerful people use their influence to get what they want.";"Possessives";"2024-08-07 09:08:26.969035"
822;"Mosquitoes can lay your eggs in this water.";"Mosquitoes can lay their eggs in this water.";"Possessives";"2024-08-07 09:08:26.969035"
823;"Each person has your own personality.";"Each person has their own personality.";"Possessives";"2024-08-07 09:08:26.969035"
824;"Everyone has your own idea of success.";"Everyone has their own idea of success.";"Possessives";"2024-08-07 09:08:26.969035"
825;"She started your life in education.";"She started her life in education.";"Possessives";"2024-08-07 09:08:26.969035"
826;"You don't was born in the village.";"You weren't born in the village.";"Subject-Verb Agreement (he/she/it)
Passive Voice";"2024-08-07 09:08:26.969035"
827;"She born in 1867.";"She was born in 1867.";"Passive Voice";"2024-08-07 09:08:26.969035"
828;"When my brother born, I got less attention from my parents.";"When my brother was born, I got less attention from my parents.";"Passive Voice";"2024-08-07 09:08:26.969035"
829;"The washing machine was invented for a lazy person.";"The washing machine was invented by a lazy person.";"Prepositions
Passive Voice";"2024-08-07 09:08:26.969035"
830;"She brought up by her grandmother.";"She was brought up by her grandmother.
She was raised by her grandmother.";"Passive Voice";"2024-08-07 09:08:26.969035"
831;"They need to be train.";"They need to be trained.";"Passive Voice";"2024-08-07 09:08:26.969035"
832;"My house has broken into by a burglar.";"My house has been broken into by a burglar.";"Passive Voice";"2024-08-07 09:08:26.969035"
833;"When we born, we are influenced by our parents.";"When we are born, we are influenced by our parents.";"Passive Voice";"2024-08-07 09:08:26.969035"
834;"I'm inspired him.";"I'm inspired by him.";"Passive Voice";"2024-08-07 09:08:26.969035"
835;"A lot of experiments still need to do in the future.";"A lot of experiments still need to be done in the future.";"Passive Voice";"2024-08-07 09:08:26.969035"
836;"It was happened in April.";"It happened in April.";"Tenses
Passive Voice";"2024-08-07 09:08:26.969035"
837;"I was attacked with a swarm of bees.";"I was attacked by a swarm of bees.";"Prepositions
Passive Voice";"2024-08-07 09:08:26.969035"
838;"I've robbed three times.";"I've been robbed three times.";"Passive Voice";"2024-08-07 09:08:26.969035"
839;"48 people was died.";"48 people died.
48 people were killed.";"Subject-Verb Agreement (he/she/it)
Passive Voice";"2024-08-07 09:08:26.969035"
840;"When the big boss commits a crime, he never catch.";"When the big boss commits a crime, he is never caught.";"Passive Voice";"2024-08-07 09:08:26.969035"
841;"She was died.";"She died.
She was killed.";"Passive Voice";"2024-08-07 09:08:26.969035"
842;"He supposed to be there at midday, but he didn't.";"He was supposed to be there at midday, but he wasn't.";"Tenses
Passive Voice";"2024-08-07 09:08:26.969035"
843;"Even if you born a bad person, you can change.";"Even if you are born a bad person, you can change.";"Passive Voice";"2024-08-07 09:08:26.969035"
844;"I don't feel it's a problem that we have to concern about.";"I don't feel it's a problem that we have to be concerned about.";"Passive Voice";"2024-08-07 09:08:26.969035"
845;"You have to pay the exactly price.";"You have to pay the exact price.";"Parts of Speech";"2024-08-07 09:08:26.969035"
846;"I don't know the exactly price.";"I don't know the exact price.";"Parts of Speech";"2024-08-07 09:08:26.969035"
847;"I have afraid of spiders.";"I am afraid of spiders.";"Word Confusion
Parts of Speech";"2024-08-07 09:08:26.969035"
848;"I don't have sure.";"I'm not sure.";"Word Confusion
Parts of Speech";"2024-08-07 09:08:26.969035"
849;"I hate when people don't polite.";"I hate when people aren't polite.";"Word Confusion
Parts of Speech";"2024-08-07 09:08:26.969035"
850;"He has jealous of her.";"He is jealous of her.";"Parts of Speech";"2024-08-07 09:08:26.969035"
851;"I don't have afraid.";"I'm not afraid.";"Parts of Speech";"2024-08-07 09:08:26.969035"
852;"You have to choice.";"You have to choose.";"Parts of Speech";"2024-08-07 09:08:26.969035"
853;"I didn't scared.";"I wasn't scared.";"Word Confusion
Parts of Speech";"2024-08-07 09:08:26.969035"
854;"I have certain about it.";"I am certain about it.";"Parts of Speech";"2024-08-07 09:08:26.969035"
855;"I don't speak Portuguese very good.";"I don't speak Portuguese very well.";"Parts of Speech";"2024-08-07 09:08:26.969035"
856;"I try to speak more fluency.";"I try to speak more fluently.
I try to speak with more fluency.";"Parts of Speech";"2024-08-07 09:08:26.969035"
857;"Sometimes you are slowly because you want to do something good.";"Sometimes you go slowly because you want to do something well.";"Parts of Speech";"2024-08-07 09:08:26.969035"
858;"In terms of crime, it's absolutely safety.";"In terms of crime, it's absolutely safe.";"Parts of Speech";"2024-08-07 09:08:26.969035"
859;"I am not agree.";"I don't agree.";"Word Confusion
Parts of Speech";"2024-08-07 09:08:26.969035"
860;"It's happen.";"It happens.";"Subject-Verb Agreement (he/she/it)
Parts of Speech";"2024-08-07 09:08:26.969035"
861;"I always fear that the teacher would catch me.";"I was always afraid that the teacher would catch me.";"Parts of Speech";"2024-08-07 09:08:26.969035"
862;"It's really hard to stay wake up.";"It's really hard to stay awake.";"Word Confusion
Parts of Speech";"2024-08-07 09:08:26.969035"
863;"It's a religion food.";"It's a religious food.";"Parts of Speech";"2024-08-07 09:08:26.969035"
864;"I come from a musician family.";"I come from a family of musicians.
I come from a musical family.";"Parts of Speech";"2024-08-07 09:08:26.969035"
865;"How do you know when you are success?";"How do you know when you are successful?";"Parts of Speech";"2024-08-07 09:08:26.969035"
866;"The American accent is easily to understand.";"The American accent is easy to understand.";"Parts of Speech";"2024-08-07 09:08:26.969035"
867;"I'm agree.";"I agree.";"Parts of Speech";"2024-08-07 09:08:26.969035"
868;"In Brazil they're not as conscience of the environment as here.";"In Brazil they're not as conscious of the environment as here.";"Parts of Speech";"2024-08-07 09:08:26.969035"
869;"It's not an absolutely rule.";"It's not an absolute rule.";"Parts of Speech";"2024-08-07 09:08:26.969035"
870;"More and more people are driving electricity cars.";"More and more people are driving electric cars.";"Parts of Speech";"2024-08-07 09:08:26.969035"
871;"You need to speak more fluent to get a better job.";"You need to speak more fluently to get a better job.";"Parts of Speech";"2024-08-07 09:08:26.969035"
872;"You can choice which one you want.";"You can choose which one you want.";"Word Confusion
Parts of Speech";"2024-08-07 09:08:26.969035"
873;"Do you have afraid of flying?";"Are you afraid of flying?
Do you have a fear of flying?";"Parts of Speech";"2024-08-07 09:08:26.969035"
874;"It looks like amazing.";"It looks amazing.";"Word Confusion
Prepositions
Parts of Speech";"2024-08-07 09:08:26.969035"
875;"We can stay more time in our currently flat.";"We can stay more time in our current flat.";"Word Confusion
Parts of Speech";"2024-08-07 09:08:26.969035"
876;"I don't remember the exactly words.";"I don't remember the exact words.";"Parts of Speech";"2024-08-07 09:08:26.969035"
877;"They told me that I had to flight to Lisbon.";"They told me that I had to fly to Lisbon.
They told me that I had to get a flight to Lisbon.";"Parts of Speech";"2024-08-07 09:08:26.969035"
878;"You have to be courage to try it.";"You have to be brave to try it.
You have to have courage to try it.";"Word Confusion
Parts of Speech";"2024-08-07 09:08:26.969035"
879;"The principal disadvantage is about anxious.";"The principal disadvantage is about anxiety.";"Parts of Speech";"2024-08-07 09:08:26.969035"
880;"I don't think successful is the same for everyone.";"I don't think being successful is the same for everyone.
I don't think success is the same for everyone.";"Parts of Speech";"2024-08-07 09:08:26.969035"
881;"I always choice the number 13.";"I always choose the number 13.";"Parts of Speech";"2024-08-07 09:08:26.969035"
882;"Respectful is the base of all other values.";"Respect is the basis of all other values.";"Parts of Speech";"2024-08-07 09:08:26.969035"
883;"I have difficult saying no.";"I have a hard time saying no.
I have difficulty saying no.";"Parts of Speech";"2024-08-07 09:08:26.969035"
884;"I could save enough money to travel.";"I managed to save enough money to travel.
I was able to save enough money to travel.";"Modals";"2024-08-07 09:08:26.969035"
885;"His friends told him the drug will cure his sadness.";"His friends told him the drug would cure his sadness.";"Reported Speech
Modals";"2024-08-07 09:08:26.969035"
886;"I couldn't found a place to live.";"I couldn't find a place to live.";"Modals";"2024-08-07 09:08:26.969035"
887;"We couldn't found accommodation.";"We couldn't find accommodation.";"Modals";"2024-08-07 09:08:26.969035"
888;"I probably won't found an apartment.";"I probably won't find an apartment.";"Modals";"2024-08-07 09:08:26.969035"
889;"We didn't think it will affect us.";"We didn't think it would affect us.";"Modals";"2024-08-07 09:08:26.969035"
890;"You must be learn from your mistakes.";"You must learn from your mistakes.";"Modals";"2024-08-07 09:08:26.969035"
891;"I thought it will be difficult.";"I thought it would be difficult.";"Reported Speech
Modals";"2024-08-07 09:08:26.969035"
892;"I can honest with my friends.";"I can be honest with my friends.";"Modals";"2024-08-07 09:08:26.969035"
893;"Everyone can using this app.";"Everyone can use this app.";"Modals";"2024-08-07 09:08:26.969035"
894;"Sometimes I couldn't hear the movie when I'm in the cinema.";"Sometimes I can't hear the movie when I'm in the cinema.";"Tenses
Modals";"2024-08-07 09:08:26.969035"
895;"The government must be find a solution.";"The government must find a solution.";"Modals";"2024-08-07 09:08:26.969035"
896;"You can going by bus.";"You can go by bus.";"Modals";"2024-08-07 09:08:26.969035"
897;"I would looking for a new place.";"I would look for a new place.";"Modals";"2024-08-07 09:08:26.969035"
898;"In the end, I could graduate.";"In the end, I managed to graduate.
In the end, I was able to graduate.";"Word Confusion
Modals";"2024-08-07 09:08:26.969035"
899;"In the end, I could arrive safely.";"In the end, I managed to arrive safely.
In the end, I was able to arrive safely.";"Modals";"2024-08-07 09:08:26.969035"
900;"He could save a lot of people.";"He was able to save a lot of people.";"Modals";"2024-08-07 09:08:26.969035"
901;"I couldn't ate anything.";"I couldn't eat anything.";"Modals";"2024-08-07 09:08:26.969035"
902;"We couldn't found it.";"We couldn't find it.";"Modals";"2024-08-07 09:08:26.969035"
903;"When I'm under pressure, sometimes I can forgot everything I'm talking about.";"When I'm under pressure, sometimes I can forget everything I'm talking about.";"Modals";"2024-08-07 09:08:26.969035"
904;"I'm here to can achieve this goal.";"I'm here to be able to achieve this goal.";"Modals";"2024-08-07 09:08:26.969035"
905;"We didn't know if there will be another earthquake.";"We didn't know if there would be another earthquake.";"Modals";"2024-08-07 09:08:26.969035"
906;"For us was cheap.";"For us it was cheap.";"It / Pronouns";"2024-08-07 09:08:26.969035"
907;"I think is expensive.";"I think it's expensive.";"It / Pronouns";"2024-08-07 09:08:26.969035"
908;"Is cheaper to buy an apartment.";"It's cheaper to buy an apartment.";"It / Pronouns";"2024-08-07 09:08:26.969035"
909;"Is easier to understand.";"It's easier to understand.";"It / Pronouns";"2024-08-07 09:08:26.969035"
910;"Is difficult to keep in touch.";"It's difficult to keep in touch.";"It / Pronouns";"2024-08-07 09:08:26.969035"
911;"Is difficult for us to relate.";"It's difficult for us to relate.";"It / Pronouns";"2024-08-07 09:08:26.969035"
912;"Sometimes is good.";"Sometimes it's good.";"It / Pronouns";"2024-08-07 09:08:26.969035"
913;"This place is amazing. Is different from other parts of the country.";"This place is amazing. It's different from other parts of the country.";"It / Pronouns";"2024-08-07 09:08:26.969035"
914;"Now is better.";"It's better now.
Now it's better.";"It / Pronouns";"2024-08-07 09:08:26.969035"
915;"Is better to walk.";"It's better to walk.";"It / Pronouns";"2024-08-07 09:08:26.969035"
916;"Is easier for me when I can see the words.";"It's easier for me when I can see the words.";"It / Pronouns";"2024-08-07 09:08:26.969035"
917;"Depend on the situation.";"It Depends on the situation.";"It / Pronouns";"2024-08-07 09:08:26.969035"
918;"Is better to save the money and pay for everything at once.";"It's better to save the money and pay for everything at once.";"It / Pronouns";"2024-08-07 09:08:26.969035"
919;"For me is the same.";"For me it's the same.
It's the same for me.";"It / Pronouns";"2024-08-07 09:08:26.969035"
920;"One room was a kitchen and living room, and the other it was a bedroom.";"One room was a kitchen and living room, and the other was a bedroom.";"It / Pronouns";"2024-08-07 09:08:26.969035"
921;"Depends on the sport.";"It depends on the sport.";"It / Pronouns";"2024-08-07 09:08:26.969035"
922;"I don't like because it's not my career.";"I don't like it because it's not my career.";"It / Pronouns";"2024-08-07 09:08:26.969035"
923;"I don't think is a difficult thing.";"I don't think it's a difficult thing.";"It / Pronouns";"2024-08-07 09:08:26.969035"
924;"Is difficult to find a place to park.";"It's difficult to find a place to park.";"It / Pronouns";"2024-08-07 09:08:26.969035"
925;"Here is difficult to get a visa.";"Here it's difficult to get a visa.
It's difficult to get a visa here.";"It / Pronouns";"2024-08-07 09:08:26.969035"
926;"For me was a really engaging film.";"For me it was a really engaging film.
I found it really engaging.";"It / Pronouns";"2024-08-07 09:08:26.969035"
927;"Is this.";"That's it.
This is it.";"It / Pronouns";"2024-08-07 09:08:26.969035"
928;"I haven't done yet.";"I haven't done it yet.";"It / Pronouns";"2024-08-07 09:08:26.969035"
929;"You don't even need to download.";"You don't even need to download it.";"It / Pronouns";"2024-08-07 09:08:26.969035"
930;"Is difficult to choose.";"It's difficult to choose.";"It / Pronouns";"2024-08-07 09:08:26.969035"
931;"Exploring nature it's a good way to reconnect with yourself.";"Exploring nature is a good way to reconnect with yourself.";"It / Pronouns";"2024-08-07 09:08:26.969035"
932;"No is just a story.";"It isn't just a story.
It's not just a story.";"It / Pronouns";"2024-08-07 09:08:26.969035"
933;"I think is good to know yourself.";"I think it's good to know yourself.";"It / Pronouns";"2024-08-07 09:08:26.969035"
934;"Depends on the month.";"It depends on the month.";"It / Pronouns";"2024-08-07 09:08:26.969035"
935;"Is cheaper to rent.";"It's cheaper to rent.";"It / Pronouns";"2024-08-07 09:08:26.969035"
936;"Sometimes is automatic.";"Sometimes it's automatic.";"It / Pronouns";"2024-08-07 09:08:26.969035"
937;"Sometimes is difficult to do that.";"Sometimes it's difficult to do that.";"It / Pronouns";"2024-08-07 09:08:26.969035"
938;"Is on the other side of the river.";"It's on the other side of the river.";"It / Pronouns";"2024-08-07 09:08:26.969035"
939;"Never is enough.";"It's never enough.";"Word Order
It / Pronouns";"2024-08-07 09:08:26.969035"
940;"For me doesn't work to live with a roommate.";"For me it doesn't work to live with a roommate.";"It / Pronouns";"2024-08-07 09:08:26.969035"
941;"Depends on the profession.";"It depends on the profession.";"It / Pronouns";"2024-08-07 09:08:26.969035"
942;"It was raining, but I still enjoyed.";"It was raining, but I still enjoyed it.";"It / Pronouns";"2024-08-07 09:08:26.969035"
943;"Was very hard.";"It was very hard.";"It / Pronouns";"2024-08-07 09:08:26.969035"
944;"People it's getting more interested in speaking foreign languages.";"People are getting more interested in speaking foreign languages.";"Subject-Verb Agreement (he/she/it)
It / Pronouns";"2024-08-07 09:08:26.969035"
945;"Depends on the person.";"It depends on the person.";"It / Pronouns";"2024-08-07 09:08:26.969035"
946;"In Brazil I think is worse.";"In Brazil I think it's worse.";"It / Pronouns";"2024-08-07 09:08:26.969035"
947;"Summer is the best time to visit because so beautiful in the summer.";"Summer is the best time to visit because it's so beautiful in the summer.";"It / Pronouns";"2024-08-07 09:08:26.969035"
948;"Is an interesting story.";"It's an interesting story.";"It / Pronouns";"2024-08-07 09:08:26.969035"
949;"Is more expensive, but is easier.";"It's more expensive, but it's easier.";"It / Pronouns";"2024-08-07 09:08:26.969035"
